#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.4000000000000003,-156721.59218246874,120.78220274551128
200,0.8000000000000006,-152373.37343246874,181.46651599673032
300,1.2000000000000008,-149598.06093246874,222.5730139702096
400,1.6000000000000012,-147540.84218246874,245.40244016531906
500,2.0000000000000013,-146014.15468246874,261.0856002232408
600,2.4000000000000017,-144800.43593246874,269.9328425597888
700,2.800000000000002,-144380.43593246874,279.83396321289615
800,3.2000000000000024,-143250.18593246874,284.8182915275063
900,3.6000000000000028,-142959.06093246874,288.2230156995991
1000,4.000000000000003,-142483.99843246874,290.6644017303791
